Experiment: 4
Latency: 0
Source: (0.22, 0.99, 0.50)
SourceSize: 0.0750
Target: (0.78, 0.01, 0.50)
TargetSize: 0.1250

Trace:
time; position; button;
160.3600; (0.75, 0.09, 0.45);
160.3626; (0.76, 0.08, 0.45);
160.3626; (0.76, 0.08, 0.45);
160.3739; (0.76, 0.09, 0.46);
160.3739; (0.76, 0.08, 0.46);
160.3800; (0.76, 0.08, 0.46);
160.3847; (0.76, 0.07, 0.47);
160.3847; (0.76, 0.07, 0.47);
160.3957; (0.76, 0.08, 0.47);
160.3957; (0.77, 0.07, 0.47);
160.4000; (0.77, 0.07, 0.47);
160.4066; (0.77, 0.06, 0.48);
160.4066; (0.77, 0.06, 0.48);
160.4178; (0.76, 0.06, 0.48);
160.4178; (0.76, 0.06, 0.49);
160.4200; (0.76, 0.06, 0.49);
160.4293; (0.76, 0.05, 0.49);
160.4293; (0.76, 0.05, 0.49);
160.4400; (0.76, 0.05, 0.49);
160.4405; (0.76, 0.04, 0.50);
160.4405; (0.76, 0.04, 0.50);
160.4516; (0.76, 0.04, 0.50);
160.4516; (0.76, 0.03, 0.51);
160.4600; (0.76, 0.03, 0.51);
160.4623; (0.76, 0.03, 0.52);
160.4623; (0.76, 0.03, 0.52);
160.4735; (0.77, 0.03, 0.51);
160.4735; (0.77, 0.02, 0.52);
160.4800; (0.77, 0.02, 0.52);
160.4845; (0.78, 0.01, 0.52);
160.4845; (0.78, 0.01, 0.52);
160.4956; (0.78, 0.02, 0.52);
160.4956; (0.78, 0.01, 0.53);
160.5000; (0.78, 0.01, 0.53);
