Experiment: 1
Latency: 200
Source: (0.75, -0.60, -0.50)
SourceSize: 0.1000
Target: (-0.75, 0.00, 0.50)
TargetSize: 0.5000

Trace:
time; position; button;
6.7600; (-0.28, 0.04, -0.18); False;
6.7622; (-0.31, 0.07, -0.16); False;
6.7622; (-0.30, 0.05, -0.15); False;
6.7734; (-0.33, 0.08, -0.13); False;
6.7734; (-0.33, 0.08, -0.13); False;
6.7800; (-0.32, 0.07, -0.13); False;
6.7955; (-0.35, 0.09, -0.11); False;
6.7955; (-0.35, 0.09, -0.11); False;
6.8000; (-0.34, 0.08, -0.11); False;
6.8072; (-0.37, 0.10, -0.09); False;
6.8072; (-0.36, 0.09, -0.09); False;
6.8183; (-0.38, 0.11, -0.07); False;
6.8183; (-0.38, 0.11, -0.07); False;
6.8200; (-0.38, 0.11, -0.07); False;
6.8292; (-0.40, 0.12, -0.05); False;
6.8292; (-0.40, 0.12, -0.05); False;
6.8400; (-0.42, 0.13, -0.03); False;
6.8401; (-0.42, 0.13, -0.03); False;
6.8401; (-0.41, 0.13, -0.04); False;
6.8511; (-0.44, 0.14, -0.02); False;
6.8511; (-0.43, 0.14, -0.02); False;
6.8600; (-0.45, 0.15, -0.01); False;
6.8622; (-0.45, 0.15, -0.01); False;
6.8622; (-0.45, 0.15, -0.01); False;
6.8731; (-0.47, 0.16, 0.00); False;
6.8731; (-0.47, 0.16, 0.00); False;
6.8800; (-0.49, 0.17, 0.01); False;
6.8840; (-0.50, 0.18, 0.02); False;
6.8840; (-0.50, 0.18, 0.02); False;
6.8960; (-0.50, 0.18, 0.02); False;
6.8960; (-0.52, 0.19, 0.03); False;
6.9000; (-0.51, 0.19, 0.03); False;
6.9085; (-0.53, 0.20, 0.04); False;
6.9085; (-0.53, 0.20, 0.04); False;
6.9200; (-0.52, 0.19, 0.04); False;
6.9287; (-0.54, 0.20, 0.05); False;
6.9287; (-0.53, 0.20, 0.05); False;
6.9396; (-0.55, 0.21, 0.06); False;
6.9396; (-0.55, 0.21, 0.06); False;
6.9400; (-0.55, 0.21, 0.06); False;
6.9517; (-0.56, 0.21, 0.07); False;
6.9517; (-0.56, 0.21, 0.07); False;
6.9600; (-0.58, 0.22, 0.08); False;
6.9625; (-0.58, 0.22, 0.08); False;
6.9625; (-0.58, 0.21, 0.07); False;
6.9735; (-0.59, 0.22, 0.08); False;
6.9735; (-0.59, 0.22, 0.08); False;
6.9800; (-0.60, 0.22, 0.10); False;
6.9958; (-0.60, 0.22, 0.10); False;
6.9958; (-0.60, 0.22, 0.10); False;
7.0000; (-0.61, 0.22, 0.11); False;
7.0065; (-0.61, 0.22, 0.11); False;
7.0065; (-0.61, 0.22, 0.11); False;
7.0174; (-0.62, 0.22, 0.12); False;
7.0174; (-0.62, 0.21, 0.15); False;
7.0200; (-0.63, 0.21, 0.16); False;
7.0296; (-0.63, 0.21, 0.16); False;
7.0296; (-0.62, 0.21, 0.17); False;
7.0400; (-0.63, 0.21, 0.18); False;
7.0403; (-0.63, 0.21, 0.18); False;
7.0403; (-0.63, 0.20, 0.18); False;
7.0511; (-0.64, 0.20, 0.20); False;
7.0511; (-0.64, 0.20, 0.20); False;
7.0600; (-0.65, 0.20, 0.21); False;
7.0623; (-0.65, 0.20, 0.21); False;
7.0623; (-0.65, 0.19, 0.21); False;
7.0730; (-0.66, 0.19, 0.22); False;
7.0730; (-0.66, 0.19, 0.22); False;
7.0800; (-0.65, 0.19, 0.22); False;
7.0851; (-0.66, 0.19, 0.23); False;
7.0851; (-0.66, 0.19, 0.23); False;
7.0960; (-0.67, 0.18, 0.24); False;
7.0960; (-0.67, 0.18, 0.24); False;
7.1000; (-0.66, 0.18, 0.24); False;
7.1073; (-0.67, 0.18, 0.25); False;
7.1073; (-0.66, 0.18, 0.25); False;
7.1200; (-0.67, 0.17, 0.26); False;
7.1294; (-0.67, 0.17, 0.26); False;
7.1294; (-0.67, 0.17, 0.26); False;
7.1399; (-0.67, 0.17, 0.28); False;
7.1399; (-0.66, 0.17, 0.28); False;
7.1400; (-0.67, 0.17, 0.29); False;
7.1516; (-0.67, 0.17, 0.29); False;
7.1516; (-0.67, 0.17, 0.30); False;
7.1600; (-0.67, 0.16, 0.31); False;
7.1626; (-0.67, 0.16, 0.31); False;
7.1626; (-0.67, 0.16, 0.30); False;
7.1733; (-0.67, 0.16, 0.31); False;
7.1733; (-0.67, 0.16, 0.31); False;
7.1800; (-0.68, 0.16, 0.32); False;
7.1846; (-0.68, 0.16, 0.32); False;
7.1846; (-0.68, 0.16, 0.32); False;
7.1953; (-0.68, 0.15, 0.33); False;
7.1953; (-0.68, 0.15, 0.33); False;
7.2000; (-0.68, 0.15, 0.33); False;
7.2072; (-0.69, 0.15, 0.34); False;
7.2072; (-0.69, 0.14, 0.35); False;
7.2184; (-0.69, 0.14, 0.36); False;
7.2184; (-0.69, 0.14, 0.36); False;
7.2200; (-0.69, 0.14, 0.36); False;
7.2291; (-0.69, 0.14, 0.37); False;
7.2291; (-0.69, 0.14, 0.37); False;
7.2400; (-0.70, 0.14, 0.37); False;
7.2402; (-0.70, 0.14, 0.38); False;
7.2402; (-0.70, 0.14, 0.38); False;
7.2600; (-0.71, 0.14, 0.39); False;
7.2623; (-0.71, 0.14, 0.39); False;
7.2623; (-0.71, 0.14, 0.39); False;
7.2739; (-0.71, 0.14, 0.40); False;
7.2739; (-0.71, 0.14, 0.40); False;
7.2800; (-0.71, 0.14, 0.40); True;
