Experiment: 0
Latency: 200
Source: (0.75, -0.75, -0.50)
SourceSize: 0.4000
Target: (-0.75, 0.00, -0.75)
TargetSize: 0.2000

Trace:
time; position; button;
3.3800; (-0.38, -0.14, -0.72); False;
3.3845; (-0.38, -0.14, -0.72); False;
3.3845; (-0.38, -0.15, -0.72); False;
3.3955; (-0.41, -0.14, -0.73); False;
3.3955; (-0.40, -0.14, -0.72); False;
3.4000; (-0.44, -0.13, -0.73); False;
3.4067; (-0.44, -0.13, -0.73); False;
3.4067; (-0.43, -0.14, -0.73); False;
3.4177; (-0.45, -0.13, -0.73); False;
3.4177; (-0.45, -0.14, -0.73); False;
3.4200; (-0.47, -0.13, -0.73); False;
3.4287; (-0.47, -0.13, -0.73); False;
3.4287; (-0.47, -0.13, -0.73); False;
3.4397; (-0.50, -0.12, -0.74); False;
3.4397; (-0.48, -0.13, -0.73); False;
3.4400; (-0.51, -0.12, -0.73); False;
3.4515; (-0.51, -0.12, -0.73); False;
3.4515; (-0.50, -0.12, -0.73); False;
3.4600; (-0.52, -0.12, -0.73); False;
3.4625; (-0.52, -0.12, -0.73); False;
3.4625; (-0.51, -0.12, -0.72); False;
3.4733; (-0.53, -0.12, -0.72); False;
3.4733; (-0.52, -0.12, -0.72); False;
3.4800; (-0.54, -0.11, -0.72); False;
3.4843; (-0.54, -0.11, -0.72); False;
3.4843; (-0.55, -0.11, -0.72); False;
3.4956; (-0.56, -0.10, -0.72); False;
3.4956; (-0.56, -0.10, -0.72); False;
3.5000; (-0.56, -0.11, -0.72); False;
3.5077; (-0.57, -0.10, -0.72); False;
3.5077; (-0.57, -0.10, -0.72); False;
3.5182; (-0.58, -0.10, -0.73); False;
3.5182; (-0.58, -0.10, -0.73); False;
3.5200; (-0.58, -0.10, -0.72); False;
3.5294; (-0.60, -0.09, -0.72); False;
3.5294; (-0.59, -0.09, -0.72); False;
3.5400; (-0.61, -0.09, -0.72); False;
3.5515; (-0.61, -0.09, -0.72); False;
3.5515; (-0.61, -0.09, -0.72); False;
3.5600; (-0.62, -0.08, -0.72); False;
3.5623; (-0.62, -0.08, -0.72); False;
3.5623; (-0.62, -0.08, -0.72); False;
3.5733; (-0.63, -0.07, -0.73); False;
3.5733; (-0.63, -0.07, -0.73); False;
3.5800; (-0.64, -0.06, -0.73); False;
3.5843; (-0.64, -0.06, -0.73); False;
3.5843; (-0.63, -0.06, -0.73); False;
3.5953; (-0.65, -0.05, -0.73); False;
3.5953; (-0.64, -0.05, -0.74); False;
3.6000; (-0.65, -0.04, -0.74); False;
3.6072; (-0.65, -0.04, -0.74); False;
3.6072; (-0.65, -0.04, -0.74); False;
3.6183; (-0.66, -0.03, -0.74); False;
3.6183; (-0.66, -0.04, -0.74); False;
3.6200; (-0.67, -0.03, -0.75); False;
3.6297; (-0.67, -0.03, -0.75); False;
3.6297; (-0.66, -0.04, -0.75); False;
3.6399; (-0.66, -0.03, -0.75); False;
3.6399; (-0.66, -0.04, -0.75); False;
3.6400; (-0.66, -0.03, -0.76); False;
3.6510; (-0.66, -0.03, -0.76); False;
3.6510; (-0.66, -0.04, -0.76); False;
3.6600; (-0.67, -0.03, -0.76); False;
3.6623; (-0.66, -0.03, -0.76); False;
3.6623; (-0.67, -0.03, -0.76); False;
3.6731; (-0.67, -0.03, -0.76); False;
3.6731; (-0.67, -0.03, -0.75); False;
3.6800; (-0.68, -0.03, -0.76); False;
3.6842; (-0.68, -0.03, -0.76); False;
3.6842; (-0.67, -0.03, -0.75); False;
3.6951; (-0.68, -0.03, -0.76); False;
3.6951; (-0.68, -0.01, -0.76); False;
3.7000; (-0.68, -0.01, -0.76); False;
3.7071; (-0.68, -0.01, -0.76); False;
3.7071; (-0.68, -0.01, -0.76); False;
3.7185; (-0.68, -0.01, -0.76); False;
3.7185; (-0.69, -0.01, -0.75); False;
3.7200; (-0.69, -0.01, -0.75); False;
